ISO3c,Year,election,elect_dem_index,Enph_Schmidt,Volat_A_Cohen,Volat_B_Cohen,Evolat_Cohen,inflation,gini,polpol,purges,Pol_polarization,Jpurges,polity2,Democratic,GDPpc,GDP_growth,GDPpc_growth,Inflation,Gini,GDPpc_lag,GDPpc_growth_lag
ARG,1990,,,,,,,,,-0.004,0.2,5.06038487060385,4.19823464509011,7,1,8149.24061859681,-2.46721377810472,,,,,
ARG,1991,,,,,,,,,-0.004,0.859,5.06038487060385,2.98639205590291,7,1,8769.75039972016,9.13311056738961,,,46.8,8149.24061859681,-2.46721377810472
ARG,1992,0,0.831,3.1504414,0.342000007629395,0.250499993562698,0.59249997138977095,24.9,45.5,-0.004,1.852,5.06038487060385,1.16035307098198,7,1,9338.69951701644,7.93729155643076,,,45.5,8769.75039972016,9.13311056738961
ARG,1993,1,0.832,2.8593879,0.131999999284744,0.129000008106232,0.26100000739097601,18512,44.9,-0.004,0.677,5.06038487060385,3.32107392423685,7,1,9974.00441871003,8.20697907221228,,,44.9,9338.69951701644,7.93729155643076
ARG,1994,0,0.84,2.8593879,0.131999999284744,0.129000008106232,0.26100000739097601,4177,45.9,-0.004,1.843,5.06038487060385,1.17690327326223,7,1,10423.3788791662,5.83620070368526,,,45.9,9974.00441871003,8.20697907221228
ARG,1995,1,0.837,2.8636034,0.277500003576279,0.212999999523163,0.49050000309944197,3376,48.9,-0.004,0.667,5.06038487060385,3.33946303788157,7,1,10003.0916892982,-2.84520961057079,,,48.9,10423.3788791662,5.83620070368526
ARG,1996,0,0.831,2.8636034,0.277500003576279,0.212999999523163,0.49050000309944197,0.16,49.5,-0.004,1.828,5.06038487060385,1.20448694372931,7,1,10430.6824927136,5.52668982715234,,,49.5,10003.0916892982,-2.84520961057079
ARG,1997,1,0.831,2.4887526,0.39699998497963,0.319000005722046,0.71599996089935303,0.53,49.1,-0.004,1.828,5.06038487060385,1.20448694372931,7,1,11146.7210336555,8.1110467707457,,,49.1,10430.6824927136,5.52668982715234
ARG,1998,0,0.83,2.4887526,0.39699998497963,0.319000005722046,0.71599996089935303,0.93,50.7,-0.004,1.828,5.06038487060385,1.20448694372931,7,1,11445.5649384682,3.85017885156228,,,50.7,11146.7210336555,8.1110467707457
ARG,1999,1,0.83,2.5639145,0.328500002622604,0.139499992132187,0.46799999475479098,-1.67,49.8,-0.004,1.828,5.06038487060385,1.20448694372931,8,1,10935.6445948055,-3.38545704063269,,,49.8,11445.5649384682,3.85017885156228
ARG,2000,0,0.84,2.5639145,0.328500002622604,0.139499992132187,0.46799999475479098,-0.94,51.1,-0.004,1.328,5.06038487060385,2.12394262596543,8,1,10730.6082172968,-0.78899893905691,,,51.1,10935.6445948055,-3.38545704063269
ARG,2001,1,0.839,2.8241346,0.373499989509583,0.338500022888184,0.712000012397766,-1.06,53.3,-0.004,1.877,5.06038487060385,1.11438028687017,8,1,10146.1068184859,-4.40883968258557,,,53.3,10730.6082172968,-0.78899893905691
ARG,2002,0,0.835,2.8241346,0.373499989509583,0.338500022888184,0.712000012397766,25869,53.8,-0.004,0.72,5.06038487060385,3.24200073556455,8,1,8943.30800223846,-10.8944848285903,,,53.8,10146.1068184859,-4.40883968258557
ARG,2003,1,0.813,3.4965317,0.445999979972839,0.126000002026558,0.57199996709823597,13443,50.9,0.376,-0.567,5.56469807564698,5.60867966164031,8,1,9629.84408600561,8.83704079576924,,,50.9,8943.30800223846,-10.8944848285903
ARG,2004,0,0.812,3.4965317,0.445999979972839,0.126000002026558,0.57199996709823597,4416,48.4,0.376,0.024,5.56469807564698,4.52188304523722,8,1,,,1,,,9629.84408600561,8.83704079576924
ARG,2004,0,0.812,3.4965317,0.445999979972839,0.126000002026558,0.57199996709823597,4416,48.4,0.376,0.024,5.56469807564698,4.52188304523722,8,1,10389.1512740641,9.02957330068152,,,48.4,,
ARG,2005,1,0.808,2.7473483,0.342000007629395,0.310499995946884,0.65250003337860096,9642,47.7,0.82,0.686,6.15394824153948,3.3045237219566,8,1,11192.1795786128,8.85165992013437,,,47.7,10389.1512740641,9.02957330068152
ARG,2005,1,0.808,2.7473483,0.342000007629395,0.310499995946884,0.65250003337860096,9642,47.7,0.82,0.686,6.15394824153948,3.3045237219566,8,1,,,1,,,11192.1795786128,8.85165992013437
ARG,2006,0,0.788,2.7473483,0.342000007629395,0.310499995946884,0.65250003337860096,10898,46.3,0.82,1.258,6.15394824153948,2.25266642147849,8,1,,,1,,,,
ARG,2006,0,0.788,2.7473483,0.342000007629395,0.310499995946884,0.65250003337860096,10898,46.3,0.82,1.258,6.15394824153948,2.25266642147849,8,1,11970.6553871118,8.04715150043027,,,46.3,,
ARG,2007,1,0.79,2.9182613,0.324999988079071,0.156000003218651,0.481000006198883,8.83,46.2,0.82,1.303,6.15394824153948,2.16991541007724,8,1,,,1,,,11970.6553871118,8.04715150043027
ARG,2007,1,0.79,2.9182613,0.324999988079071,0.156000003218651,0.481000006198883,8.83,46.2,0.82,1.303,6.15394824153948,2.16991541007724,8,1,12919.2353647124,9.00765087504757,,,46.2,,
ARG,2008,0,0.784,2.9182613,0.324999988079071,0.156000003218651,0.481000006198883,8585,44.9,0.82,1.529,6.15394824153948,1.75432144170651,8,1,,,0.66667,,,12919.2353647124,9.00765087504757
ARG,2008,0,0.784,2.9182613,0.324999988079071,0.156000003218651,0.481000006198883,8585,44.9,0.82,1.529,6.15394824153948,1.75432144170651,8,1,13310.6236843092,4.05723310346406,,,44.9,,
ARG,2009,1,0.779,3.0719037,0.572499990463257,0.218999996781349,0.79149997234344505,6.27,43.7,0.82,1.239,6.15394824153948,2.28760573740346,8,1,,,0.66667,,,13310.6236843092,4.05723310346406
ARG,2009,1,0.779,3.0719037,0.572499990463257,0.218999996781349,0.79149997234344505,6.27,43.7,0.82,1.239,6.15394824153948,2.28760573740346,8,1,12398.2835807357,-5.91852507634947,,,43.7,,
ARG,2010,0,0.773,3.6300635,0.572499990463257,0.218999996781349,0.79149997234344505,10649,43.6,0.82,1.475,6.15394824153948,1.85362265538801,8,1,,,0.66667,,,12398.2835807357,-5.91852507634947
ARG,2010,0,0.773,3.6300635,0.572499990463257,0.218999996781349,0.79149997234344505,10649,43.6,0.82,1.475,6.15394824153948,1.85362265538801,8,1,13551.3391940229,10.1253981561002,,,43.6,,
ARG,2011,1,0.774,3.0416303,0.858500003814697,0.0494999997317791,0.90799999237060502,,42.6,0.82,1.309,6.15394824153948,2.1588819418904,8,1,,,0.33333,,,13551.3391940229,10.1253981561002
ARG,2011,1,0.774,3.0416303,0.858500003814697,0.0494999997317791,0.90799999237060502,,42.6,0.82,1.309,6.15394824153948,2.1588819418904,8,1,14200.2698890608,6.00395169280579,,,42.6,,
ARG,2012,0,0.773,3.0413504,0.858500003814697,0.0494999997317791,0.90799999237060502,,41.3,0.82,1.072,6.15394824153948,2.59470393527032,8,1,,,0.33333,,,14200.2698890608,6.00395169280579
ARG,2012,0,0.773,3.0413504,0.858500003814697,0.0494999997317791,0.90799999237060502,,41.3,0.82,1.072,6.15394824153948,2.59470393527032,8,1,13895.6337072986,-1.0264204544321,,,41.3,,
ARG,2013,1,0.779,4.6030383,0.34850001335144,0.224500000476837,0.57300001382827803,,40.9,1.5,1.01,7.05640345056404,2.7087164398676,8,1,,,0.33333,,,13895.6337072986,-1.0264204544321
ARG,2013,1,0.779,4.6030383,0.34850001335144,0.224500000476837,0.57300001382827803,,40.9,1.5,1.01,7.05640345056404,2.7087164398676,8,1,14071.5086831557,2.40532378079436,,,40.9,,
ARG,2014,0,0.791,4.6030383,0.34850001335144,0.224500000476837,0.57300001382827803,,41.6,1.5,1.01,7.05640345056404,2.7087164398676,8,1,,,0.33333,,,14071.5086831557,2.40532378079436
ARG,2014,0,0.791,4.6030383,0.34850001335144,0.224500000476837,0.57300001382827803,,41.6,1.5,1.01,7.05640345056404,2.7087164398676,8,1,13567.9484159809,-2.51261532081394,,,41.6,,
ARG,2015,1,0.775,4.6236615,0.479000002145767,0.117499999701977,0.59649997949600198,,,1.5,0.911,7.05640345056404,2.89076866495035,9,1,,,1,,,13567.9484159809,-2.51261532081394
ARG,2015,1,0.775,4.6236615,0.479000002145767,0.117499999701977,0.59649997949600198,,,1.5,0.911,7.05640345056404,2.89076866495035,9,1,13789.060424772,2.73115982828944,,,,,
ARG,2016,0,0.75,4.6236615,0.479000002145767,0.117499999701977,0.59649997949600198,,42,1.5,0.99,7.05640345056404,2.74549466715704,9,,13360.2118345982,-2.08032784377811,,,42,13789.060424772,2.73115982828944
ARG,2016,0,0.75,4.6236615,0.479000002145767,0.117499999701977,0.59649997949600198,,42,1.5,0.99,7.05640345056404,2.74549466715704,9,,,,1,,,13360.2118345982,-2.08032784377811
ARG,2017,0,0.749,,,,NA,,41.1,1.5,0.703,7.05640345056404,3.27326222876058,9,,,,1,,,,
ARG,2017,0,0.749,,,,NA,,41.1,1.5,0.703,7.05640345056404,3.27326222876058,9,,13595.0373551081,2.81850297775918,,,41.1,,
ARG,2018,1,0.779,,,,NA,,41.3,1.5,0.872,7.05640345056404,2.96248620816477,9,,13105.397163317,-2.61739646282038,,,41.3,13595.0373551081,2.81850297775918
ARG,2018,1,0.779,,,,NA,,41.3,1.5,0.872,7.05640345056404,2.96248620816477,9,,,,1,,,13105.397163317,-2.61739646282038
ARG,2019,0,0.777,,,,NA,,42.9,1.5,0.872,7.05640345056404,2.96248620816477,,,,,1,,,,
ARG,2019,0,0.777,,,,NA,,42.9,1.5,0.872,7.05640345056404,2.96248620816477,,,12712.9707379001,-2.0259342366392,,,42.9,,
ARG,2020,,,,,,,,,1.5,0.541,7.05640345056404,3.57116586980508,,,,,1,,,12712.9707379001,-2.0259342366392
ARG,2020,,,,,,,,,1.5,0.541,7.05640345056404,3.57116586980508,,,11344.4057423154,-9.89526896368687,,,42.3,,
ARG,2021,,,,,,,,,1.5,0.359,7.05640345056404,3.90584773813902,,,12390.8086878358,10.2637609278887,,,,11344.4057423154,-9.89526896368687
BOL,1990,,,,,,,,,-0.162,-0.374,4.85069674850697,5.25376976829717,9,1,1744.311983681,4.6357874278518,,17.118774604824,,12390.8086878358,10.2637609278887
BOL,1991,,,,,,,,,-0.162,-0.374,4.85069674850697,5.25376976829717,9,1,1797.78023359344,5.26652666762763,,21.447069817114,,1744.311983681,4.6357874278518
BOL,1992,0,0.718,3.9174776,0.170500010251999,0.163499996066093,0.33399999141693099,12.06,49.1,-0.162,-0.374,4.85069674850697,5.25376976829717,9,1,1789.23998701472,1.64649818317069,,12.060323601829,,1797.78023359344,5.26652666762763
BOL,1993,1,0.732,3.7142854,0.8125,0.0490000024437904,0.861500024795532,8.53,,-0.162,-0.599,4.85069674850697,5.66752482530342,9,1,1826.86559211395,4.26929611661502,,8.52787695688004,,1789.23998701472,1.64649818317069
BOL,1994,0,0.742,3.7142854,0.8125,0.0490000024437904,0.861500024795532,7.87,,0.046,-0.88,5.12674187126742,6.18425891872012,9,1,1872.70987338822,4.66726510266786,,7.87404421467432,,1826.86559211395,4.26929611661502
BOL,1995,0,0.749,3.7142854,0.8125,0.0490000024437904,0.861500024795532,10.19,,0.046,-0.298,5.12674187126742,5.11401250459728,9,1,1920.31795482908,4.67827659709971,,10.1932067630746,,1872.70987338822,4.66726510266786
BOL,1996,0,0.749,3.7142854,0.8125,0.0490000024437904,0.861500024795532,12.43,,0.046,-0.453,5.12674187126742,5.39904376609047,9,1,1963.64076343777,4.36134195244576,,12.4254866180049,,1920.31795482908,4.67827659709971
BOL,1997,1,0.754,5.361675,0.508000016212463,0.125499993562698,0.63349997997283902,4.71,58.2,-0.16,-0.273,4.85335102853351,5.06803972048547,9,1,2019.85160892213,4.95420874299721,,4.70844436028193,58.2,1963.64076343777,4.36134195244576
BOL,1998,0,0.756,5.361675,0.508000016212463,0.125499993562698,0.63349997997283902,7.67,,-0.16,-0.457,4.85335102853351,5.40639941154836,9,1,2079.69672908818,5.02935475543072,,7.67322895675084,,2019.85160892213,4.95420874299721
BOL,1999,0,0.761,5.361675,0.508000016212463,0.125499993562698,0.63349997997283902,2.16,58.1,-0.16,-0.069,4.85335102853351,4.69290180213314,9,1,2048.02647597829,0.426885422588825,,2.15951626835596,58.1,2079.69672908818,5.02935475543072
BOL,2000,0,0.761,5.361675,0.508000016212463,0.125499993562698,0.63349997997283902,4.61,61.6,-0.16,-0.069,4.85335102853351,4.69290180213314,9,1,2059.18530625963,2.50781080899483,,4.60822998872598,61.6,2048.02647597829,0.426885422588825
BOL,2001,0,0.76,5.361675,0.508000016212463,0.125499993562698,0.63349997997283902,1.59,57.4,-0.16,-0.069,4.85335102853351,4.69290180213314,9,1,2054.33094057835,1.68379912721825,,1.58965377879568,57.4,2059.18530625963,2.50781080899483
BOL,2002,1,0.747,4.964747,0.912500023841858,0.0839999988675118,0.99650001525878895,0.93,59.3,0.029,-0.069,5.10418049104181,4.69290180213314,9,1,2066.24165134151,2.48556573783829,,0.928258851611061,59.3,2054.33094057835,1.68379912721825
BOL,2003,0,0.739,4.964747,0.912500023841858,0.0839999988675118,0.99650001525878895,3.34,,0.677,-0.069,5.96416721964167,4.69290180213314,8,1,2083.42192226082,2.71133983700673,,3.33727499671533,,2066.24165134151,2.48556573783829
BOL,2004,0,0.767,4.964747,0.912500023841858,0.0839999988675118,0.99650001525878895,4.44,55,0.677,-0.069,5.96416721964167,4.69290180213314,8,1,,,1,,,2083.42192226082,2.71133983700673
BOL,2004,0,0.767,4.964747,0.912500023841858,0.0839999988675118,0.99650001525878895,4.44,55,0.677,-0.069,5.96416721964167,4.69290180213314,8,1,2131.30712768244,4.17329558916248,,4.43738080101724,55,,
BOL,2005,1,0.764,4.964747,0.452500015497208,0.307500004768372,0.75999999046325695,5.39,58.5,0.583,-0.069,5.83941605839416,4.69290180213314,8,1,,,1,,,2131.30712768244,4.17329558916248
BOL,2005,1,0.764,4.964747,0.452500015497208,0.307500004768372,0.75999999046325695,5.39,58.5,0.583,-0.069,5.83941605839416,4.69290180213314,8,1,2186.18666215746,4.42143312687979,,5.39323106890664,58.5,,
BOL,2006,0,0.74,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,4.28,56.7,0.857,-1.183,6.20305242203053,6.74144906215521,8,1,2251.27497162475,4.79700882356067,,4.28239604802565,56.7,2186.18666215746,4.42143312687979
BOL,2006,0,0.74,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,4.28,56.7,0.857,-1.183,6.20305242203053,6.74144906215521,8,1,,,1,,,2251.27497162475,4.79700882356067
BOL,2007,0,0.725,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,8.71,54.5,1.356,-1.217,6.86529528865295,6.80397204854726,8,1,,,1,,,,
BOL,2007,0,0.725,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,8.71,54.5,1.356,-1.217,6.86529528865295,6.80397204854726,8,1,2313.8912274833,4.56438426887887,,8.70560923578869,54.5,,
BOL,2008,0,0.73,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,14.01,50.8,1.356,-1.234,6.86529528865295,6.83523354174329,8,1,,,1,,,2313.8912274833,4.56438426887887
BOL,2008,0,0.73,2.3649592,0.452500015497208,0.307500004768372,0.75999999046325695,14.01,50.8,1.356,-1.234,6.86529528865295,6.83523354174329,8,1,2414.9734487058,6.14849787462164,,14.0068107702519,50.8,,
BOL,2009,1,0.729,2.3649592,0.998999953269958,0,0.99899995326995805,3.35,49.2,1.156,-1.234,6.59986728599867,6.83523354174329,7,1,,,1,,,2414.9734487058,6.14849787462164
BOL,2009,1,0.729,2.3649592,0.998999953269958,0,0.99899995326995805,3.35,49.2,1.156,-1.234,6.59986728599867,6.83523354174329,7,1,2454.80029014743,3.35699957430565,,3.34645420142012,49.2,,
BOL,2010,0,0.687,1.8518517,0.998999953269958,0,0.99899995326995805,2.5,,0.97,-1.352,6.35301924353019,7.05222508275101,7,1,,,1,,,2454.80029014743,3.35699957430565
BOL,2010,0,0.687,1.8518517,0.998999953269958,0,0.99899995326995805,2.5,,0.97,-1.352,6.35301924353019,7.05222508275101,7,1,2514.43482568374,4.1267225910567,,2.5032760584424,,,
BOL,2011,0,0.684,1.8518517,0.998999953269958,0,0.99899995326995805,9.88,46.1,0.97,-1.148,6.35301924353019,6.67708716439868,7,1,,,1,,,2514.43482568374,4.1267225910567
BOL,2011,0,0.684,1.8518517,0.998999953269958,0,0.99899995326995805,9.88,46.1,0.97,-1.148,6.35301924353019,6.67708716439868,7,1,2602.71849553744,5.204092443086,,9.88446419823887,46.1,,
BOL,2012,0,0.686,1.8518517,0.998999953269958,0,0.99899995326995805,4.52,46.6,0.765,-1.117,6.08095554080956,6.62008091210004,7,1,,,1,,,2602.71849553744,5.204092443086
BOL,2012,0,0.686,1.8518517,0.998999953269958,0,0.99899995326995805,4.52,46.6,0.765,-1.117,6.08095554080956,6.62008091210004,7,1,2692.60749690449,5.12227558091757,,4.51560291399368,46.6,,
BOL,2013,0,0.67,1.8518517,0.998999953269958,0,0.99899995326995805,5.74,47.6,0.765,-1.117,6.08095554080956,6.62008091210004,7,1,,,1,,,2692.60749690449,5.12227558091757
