A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
1;G016;2;1;28;2020;0.894882409322849;1;2;2;20;5;1999;10;10;10027;1;2;2;2;4;4;2;4;1;2;4;4;2;4;4;1;1;4;2;3;2;2;1;1;2;1;4;30;360;;990;1001;1;2;30;90;90;5;5;2;1;10;7;9;6;8;0;0;0;7;0;0;2;1;2;4;2;2;2;30;;30;99;2;2;2;2;3;3;;;;;2;63;2;25;2;52;4;2;3;0;3;9;998;;9;5;3;;1;2;;1;121;;6;3;5;2;5;3;2;10;1;1;1
2;G016;2;1;28;2020;108.481.113.361.927;1;2;1;8;5;1964;17;17;17001;4;4;2;2;4;4;4;2;2;2;4;4;4;4;4;4;2;2;2;1;4;2;1;98;2;1;2;30;350;;990;609;3;2;30;30;30;2;1;5;5;1;0;0;0;5;0;0;0;5;0;0;4;1;3;4;1;2;1;20;;10;99;1;1;1;2;;;4;4;;;4;76;1;76;1;33;4;2;1;0;1;2;998;;9;1;1;;;;;1;121;;2;3;0;6;3;2;1;3;4;4;3
3;G016;2;1;28;2020;108.481.113.361.927;1;2;1;13;2;1932;10;10;10035;1;1;2;1;4;2;4;4;2;4;4;2;2;4;4;1;1;4;1;3;1;1;1;1;2;1;5;30;360;;990;ANDRADE - COSSE;2;2;30;30;30;5;5;4;3;8;8;10;7;9;0;0;0;8;0;3;3;1;1;4;1;2;1;99;;99;99;2;1;2;1;1;2;;;;;3;14;1;47;;64;2;1;5;0;3;9;998;;9;5;3;;;;;1;121;;1;4;3;4;6;3;3;9;2;2;1
4;G013;2;1;28;2020;0.832052522295433;1;2;2;21;10;1966;12;12;12956;4;4;3;2;2;4;3;4;2;4;4;4;8;2;4;2;1;2;2;1;2;3;97;3;4;4;2;95;999;;995;;95;95;96;95;96;2;2;5;97;5;97;98;97;0;3;2;0;2;5;5;3;96;9;;2;2;1;20;;20;99;2;1;2;2;;;4;4;;;2;54;1;54;1;23;2;2;3;9999997;1;2;998;;9;2;3;;7;;;1;121;;1;2;2;5;3;2;1;5;3;4;3
5;G014;2;1;28;2020;0.832052522295433;1;2;2;10;6;1945;18;18;18001;2;2;2;1;2;4;4;4;1;4;2;2;2;2;4;1;2;2;4;3;1;2;2;2;4;4;2;10;110;;990;404;3;1;10;10;10;4;5;6;4;8;8;10;98;4;7;6;5;5;8;8;2;2;1;10;2;2;1;20;;10;99;1;1;1;1;;;;;2;2;1;14;1;22;;64;2;1;5;0;1;1;1;;3;2;3;;7;;;1;121;;1;4;5;2;6;3;3;11;1;1;1
6;G026;2;1;28;2020;0.832052522295433;1;2;2;5;1;1966;10;10;10010;1;1;2;1;4;2;4;4;2;4;4;2;4;2;4;5;5;4;4;3;1;2;1;1;2;1;4;30;360;;990;1001;1;2;30;30;30;5;5;0;2;8;9;10;8;10;0;0;0;8;3;2;1;1;1;4;2;2;2;10;;20;20;1;1;2;1;;;4;3;;;2;20;1;20;1;51;4;1;4;9999998;1;1;3;;4;5;3;;7;;;1;121;;1;1;6;1;5;3;2;11;1;1;1
7;G022;1;1;28;2020;0.832052522295433;1;2;2;15;10;1948;22;23;22421;2;4;2;1;2;3;4;4;2;2;2;4;2;4;4;1;2;4;2;3;2;2;1;1;4;1;8;30;340;;998;;1;2;30;30;30;4;4;5;5;10;9;10;6;8;6;2;0;10;5;2;2;1;2;4;2;2;2;10;;10;99;2;1;2;2;;;3;3;;;3;14;1;62;;56;2;2;6;0;3;9;998;;9;5;3;;7;;;1;121;;1;4;5;2;6;3;3;11;1;1;1
8;G024;1;1;28;2020;0.832052522295433;1;2;2;30;12;1952;11;11;11629;4;4;4;4;4;5;4;4;2;2;2;2;2;2;4;5;2;2;4;1;1;3;3;4;4;4;1;10;198;;998;;2;1;10;10;10;2;5;10;0;10;9;5;0;0;10;10;10;0;10;9;4;2;2;1;2;2;2;20;;11;99;2;1;2;1;;;;;2;3;1;14;2;52;;24;1;2;2;9999998;1;1;1;;4;1;3;;7;;;1;121;;2;4;1;5;4;2;1;5;3;4;3
9;G013;2;1;28;2020;0.832052522295433;1;2;2;1;10;1974;28;28;28001;2;3;4;2;2;5;5;2;2;2;1;2;4;4;4;2;2;2;5;1;1;3;2;2;2;2;2;10;120;;990;71404;2;1;10;10;10;5;4;10;2;10;8;8;7;2;10;9;9;1;10;8;3;2;2;1;2;2;2;10;;10;99;1;1;1;2;;;3;3;;;3;42;2;32;3;24;1;2;2;9999997;1;1;1;;2;2;3;;7;;;1;121;;4;2;1;5;4;2;1;5;3;4;3
10;G015;2;1;28;2020;108.481.113.361.927;1;2;1;9;4;1937;10;10;10004;1;2;2;2;4;2;4;4;2;2;4;5;3;4;4;1;2;2;2;3;2;2;1;1;3;1;5;30;362;;990;567;1;2;30;30;30;5;5;0;5;9;8;10;7;10;1;0;0;10;1;1;2;1;1;4;2;2;3;20;;20;20;9;1;2;1;;;;;1;9;2;14;1;46;;25;2;1;6;0;3;9;998;;9;5;3;;7;;;1;121;;1;4;3;4;4;2;1;7;2;2;1
